,name,summary
33,The Trial,"Josef K. is the chief financial officer of a bank. He is arrested by two unidentified agents from an unspecified agency for an unspecified crime. K. has to explore to find the court, which turns out to be in the attic. He has no idea what he is charged with, or what authorizes the process, and makes a long speech denigrating the whole process, including the agents who arrested him, and during which an attendant's wife is raped. K.'s work at the bank deteriorates as he is consumed with worry with worry about his case. The client learned that he is dealing with a trial from Titorelli, a painter, who told the client about the case and has dealings with the court and has told K.'S client about K.''s case. Three teenage girls taunt him and tease him on the steps of the court. The film is about a man who tries to fight back against the power of the powerful behind the scenes in a secret court in a suburb of Berlin. It is the first of a two-part series on the life of Josef K.; the second will be released on September 14, 2015. The book is published by Taschen, priced £16.99, with a run-down edition of £14.99. It will be available in paperback on September 15, 2015, and on Blu-ray and DVD on September 16, 2015; it will be on sale in the U.S. for £15.99 and £20.99 in the UK on September 17, 2015 and in the Netherlands on September 18, 2015 for £12.99 each. It has been translated from the German into English with a price tag of £20, £15, £20 and £25. It was published in Germany by the publisher, Tass, in association with the Berlin-based publisher, Bremen & Co. (B&B). The film was released in Germany on September 13, 2015 with a cover price of £12, £13, £14 and £15 respectively. The German version of the book will be published on September 20, 2016, and the UK release date is September 21, 2016. The U.K. version will be September 22, 2016 and the US release date of September 23, 2016 (the UK version is September 24, 2016). It will also be released in the US on September 25, 2017, and September 26, 2017 (the US release dates are September 27, 2017 and September 28, 2017)."
34,The Metamorphosis,"One day Gregor Samsa, a traveling salesman, wakes up to find himself transformed into a ""ungeheuren Ungeziefer"", literally ""monstrous vermin"", often interpreted as a giant bug or insect. He tries to get out of bed but he is incapable of moving his body. His sister feeds him and cleans up while he hides under the couch, afraid that his appearance will frighten her. Gregor spends his time listening through the wall to his family members talking about the difficult financial situation they find themselves in now that Gregor can’t provide for them. His incapability of being the provider of his family as well as his shattered dreams in respect to his sister coupled with his speechlessness reduces his thought process to a great respect. One evening, the cleaning lady leaves Gregor’s door open while the boarders about the living room play the violin for them, and Gregor who took care to avoid crossing paths with anyone in the midst of his depression, creeps out of his bedroom to listen to them. The next morning, his sister comes in, sees that he has not touched the milk, and replaces it with rotting food scraps, which Gregor happily eats. He begins climbing the walls and ceiling for amusement. Discovering Gregor's new pastime, Grete decides to remove some of the furniture to give Gregor more space. She and her mother begin taking furniture away, but Gregor finds their actions deeply distressing. The father throws out the apples at Gregor and one of them sinks into his back and remains there for a month and permanently damaging it. He manages to get back into his bedroom but is severely injured and is left severely injured. The boarders, who initially seemed interested in her performance, grow bored with her and take her out of the room to listen with Gregor. The mother sees him hanging on the wall and passes out and calls out to Gregor—the first time anyone has spoken directly to him since his transformation. He apologizes to the office manager for the delay. He also learns that his mother wants to visit him, but his sister and father will not let her. Eventually, Gregor manages to unlock and open the door with his mouth. Horrified by the sight ofGregor's appearance, the manager bolts out of. the apartment, while his mother faints. The film was released on December 25, 2012. It is the same Christmas as the Christmas before which the metamorphosis occurs."
35,Fahrenheit 451,"Guy Montag is followed by a cheery, 17-year-old girl named Clarisse McClellan. The two walk until they reach Clarisse's house (which is next to Montag's) Before Clarisse goes inside, she asks Montag if he's happy. Montag tries to tell his wife that she overdosed, but is interrupted by Mildred's ramblings of her stomach hurting, but being hungry, and rationalizes that the feeling is from drinking too much alcohol during a party. A few days later, the firemen are called in to burn down the house of an old woman who has been hoarding books. The firemen go to arrest her, but instead the woman recites a quote from Nicholas Ridley and refuses to leave. The woman is given a final warning to leave the house, but the woman produces a match, drops it in the kerosene, and is engulfed in flames. The film ends with Montag realizing that if Mildred died, he wouldn't miss her at all, and then asks Mildred about Clarisse. The next day, Clarisse doesn't appear alongside Montag, and Montag waits for her to arrive at work. The movie was released on September 11, 2013. It is based on the novel ""The Squid and the Whale"" by Neil Gaiman and directed by David Fincher. For more information on the film, visit www.the-squid-and-the-cowardly-curse.com. The book is published by Simon & Schuster, which also publishes the novel in hardback and e-book editions of the book ""A Man Walks On To a precipice"" (with a foreword by Gaiman). For more details on the book, visit http://www.thebookshop.com/man-walks-on-to-a- precipice-of-a  precipice of a crisis and the-bookshop of the same name (and also in the series of novels by Gaiman and Schuster in the first volume of ""The Godfather"" (volume 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 20, 22, 21, and 24, 23, 26, & 28, & 28."
36,Farmer Giles of Ham,"Farmer Giles (Ægidius Ahenobarbus Julius Agricola de Hammo, ""Giles Bronze-beard Julius Farmer of Ham"") is not a hero. He is fat and red-bearded and enjoys a slow, comfortable life. But a rather deaf and short-sighted giant blunders on to his land. Giles manages to ward him away with a blunderbuss shot in his general direction. His reputation spreads across the kingdom, and he is rewarded by the King with a sword named Caudimordax (""Tailbiter"") This turns out to be a powerful weapon against dragons. The story parodies the great dragon-slaying traditions. The only part of a 'dragon' they know is the annual celebratory dragon-tail cake. But hapless farmers can be forced to become heroes, and Giles shrewdly makes the best of the situation. He resents being sent along to face it. Giles by contrast clearly recognizes the danger, and resents be sent along. The Story of Farmer Giles is published by Hodder & Stoughton, priced £16.99, with a p&p of £12.99. For more information on the book, visit www.hodderandstoughton.co.uk or go to the website of the author's website, Hodder and Stoughter, which is based on the German play of the same name by the same author, Friedrich von Niebuhr. The book is available in English and German, with an abridged version of the German version available on Amazon.com for £9.99 and £10.99 respectively. It is published in the UK by P & P Books, and in the U.S. by Macmillan Publishers, which publishes the book in the US by P&P Books, Inc. for £8.99 (with a p & p of £7.99). For more details on the story, go to www.p&p.com/book/Farmer-Giles-The-Story-of-Farmer Giles and Other-Authors-The Story of Farmer Giles by Friedrich von Niebohr, which is based on a German play by P. P. Schwarzenegger, included in the UK, is available for £6.99 (£7.50) and in Europe."
37,Gaudy Night,"Harriet Vane returns reluctantly to Oxford to attend the Gaudy dinner. She is surprised to be welcomed warmly by the dons, and rediscovers her old love of the academic life. Some time later the Warden of Shrewsbury writes to ask for help. There has been an outbreak of anonymous letters, vandalism and threats, apparently from someone within the college, and a scandal is feared. Harriet is forced to examine her ambivalent feelings about love and marriage, along with her attraction to academia as an intellectual (and emotional) refuge. Her personal dilemma becomes entangled with darkly hinted suspicions and prejudices raised by the crimes at the college. The perpetrator is finally unmasked as one of the college servants, revealed to be the widow of a disgraced academic at a northern university. Her husband's academic fraud had been exposed by one of his fellow dons there, destroying his career and driving him to suicide. The campaign has been the widow's revenge against intellectual women who move outside their ""proper"" domestic sphere. At the end of the book, Harriet Vane finally accepts Wimsey's proposal of marriage. (Their marriage and honeymoon,interrupted by another murder mystery, are depicted in Busman's Honeymoon.) The book was written in 1875. It was published by Hodder & Stoughton, with a forward by William Makepeace Thackeray, and an ending by John Keats, with an afterword by Charles Dickens, and was published in 1876. It is the first of a two-part series, with the second to come in 1883 and 1884. It has been published in hardback and paperback, and it is available in English and French for the first time in the UK and in the US for £16.99, plus £3.99 in the U.S. and £1.50 in the United States. The book is available for pre-order on Amazon.com, with prices starting at £12.99. It will be published in the spring of 1883. It can be ordered for £15.99 with the option of a £10.99 Kindle edition, and the UK paperback edition will be £14.99 (with the option to buy the book in the summer of 1884 for £13.99). It will also be available in paperback and hardback for the UK in the Spring of 1885, and in paperback for the US in the fall of 1887."
38,Gylfaginning,"The Gylfaginning tells the story of Gylfi, a king of ""the land that men now call Sweden"", who after being tricked by one of the goddesses of the Æsir wonders if all ÆSir use magic and tricks for their will to be done. This is why he journeys to Asgard, but on the way he is tricked by the gods and arrives in some other place, where he finds a great palace. In the end all the palace and its people just vanish andGylfi is left standing on empty ground. It can be argued that Snorri used this narrative device as a means of being able to safely document a vanishing and largely oral tradition within a Christian context. It is then implied that as Gylf i returns to his nation, he retells the tales he was told. The story ends with the king of the palace saying that he will return to his people. The tale is told in the form of a short poem called ""Gangleri"" which is written in the style of a sonnet. The poem is about a king named Gangleri and his quest to find out the truth about the gods. It was written by the Norwegian poet Snorre associated with the ""Norse sagas"" and is one of his most famous works, along with ""The Book of the Dead"" and ""The Birth of the Gods"" The story is about the creation and destruction of the world (R Ragnarök) and also the creation of the gods (Ragnarök), and how the world was created and destroyed by the Norse gods. The book is also about how the gods created the world, and how they created the Earth and the universe. It ends with a story about a man named High, who is asked to show his wisdom by asking questions by a group of men. High, Just-As-High, and Third are then challenged to show their wisdom by answering these questions. Each question made to High is about an aspect of the Norse mythology or its gods, and also about the Creation and Destruction of the World. The questions are then answered by the men, as is the custom in many Norse sagas. The end of the story shows that the three men have been challenged to give their wisdom to the king, and that the king has accepted their answers. The king then says that he is going back to his country to tell his people the tale he has been told."
39,God Emperor of Dune,"God Emperor Leto II has ruled his Empire for more than 3,500 years. He has merged his human body with sandtrout, the haploid phase of the giant sandworms of Arrakis. His brain has gradually diffused into the rest of his body, becoming a series of nodes throughout his whole form. Leto has enforced a state of peace throughout his empire, both through tight control of his enormous (but limited) hoard of the spice melange and the military might of his Fish Speaker army. His reign is considered by many to be depraved and despotic, but he is confident that his actions will ensure the survival of the human race. As his father before him, Leto is utterly incapable of foreseeing his own demise, and concludes that whatever he cannot see and perceive and thus control &mdash; is connected to his eventual death; ironically, this amuses him since it is one of the few things that still brings surprise to his otherwise dull existence. He himself battles an incessant struggle with boredom and loneliness that overwhelms him because of his everlasting life, close-to-absolute prescience, a loss of vulnerability which renders him incapable of physical intimacy, and his perception of the passage of time in great lengths (as decades may pass without him realizing it). Few people realize the burden that he carries as he deems subjects useful as long as they serve a purpose to the ""Golden Path"" (the end justifying the means). Leto maintains a small and reclusive system of government, and as God, he chooses not to share the inner workings and purpose of his decisions or any sympathy for his cause, as he knows that humanity would not be able to grasp the concept. The Bene Gesserit and Spacing Guild have endured, although both have been forced to adapt to Leto's absolute control over melange. Over the centuries, a significant number of the gholas have attempted to assassinate Leto through various means after struggling with the conflict between their intense loyalty to House Atreides, and the moral disgust triggered by the repression and stagnation Lete has forced upon the Empire. The old Imperium is basically non-existent; the Landsraad has ceased to exist, and only a few remnants of the Great Houses survive. The vast majority of these ghola are made under Leto’s instructions of preserving the original Idaho without enhancements. They remind Leto of his family, and he feels that he owes Duncan for his service and devotion to House atreides."
40,Genesis,"God creates the world in six days and consecrates the seventh after giving mankind his first commandment: ""be fruitful and multiply"" God pronounces the world ""very good"", but it becomes corrupted by the sin of man and God sends a deluge (a great flood) to destroy it, saving only the righteous (Noah) and his family, from whose seed the world is repopulated. Man sins again, but God has promised that he will not destroy the world a second time with water. God instructs Abram (the future Abraham) to travel from his home in Mesopotamia (modern Iraq) to the land of Canaan. There God makes a covenant with Abram promising that his descendants shall be as numerous as the stars in the heavens, but that they shall suffer oppression in a foreign land for four hundred years. After which they shall inherit the land ""from the river of Egypt to the great river, the river Euphrates"" Abram's name is changed to Abraham and that of his wife Sarai to Sarah, and circumcision of all males is instituted as the sign of the covenant. Sarah is barren, and tells Abraham to take her Egyptian handmaiden, Hagar, as a concubine. Through Hagar Abraham becomes the father of Ishmael. Abraham asks God that Ishmaal ""might live in Thy sight,"" (that is, be favored), but God replies that Sarah will bear a son, who will be named Isaac, through whom the covenant will be established. Isaac prays to God and she gives birth to the twins Esau, father of the Edomites, and Jacob. Through deception, Jacob becomes the heir instead of Esau and gains his father's blessing. He flees to his uncle where he prospers and earns his two wives. By his wives Rachel and Leah and their handmaidens he has twelve sons, the ancestors of the twelve tribes of the Children of Israel. Joseph, Jacob's favourite son, is sold into slavery in Egypt by his jealous brothers. But Joseph prospered, and when famine comes he brings his father and his brothers and their households, seventy persons in all, to Egypt, where Pharaoh assigns to them theLand of Goshen. Joseph lives to see his great-grandchildren, and on his death-bed he exhorts his brethren, if God should remember them and lead them out of the country, to take his bones with them. The book ends with Joseph's remains being ""put in a coffin in Egypt."""
41,Gone with the Wind,"Gone with the Wind takes place in the southern United States in the state of Georgia during the American Civil War (1861–1865) and the Reconstruction Era (1865–1877) that followed the war. The novel unfolds against the backdrop of rebellion wherein seven southern states, Georgia among them, have declared their secession from the United States. There are brief but vivid descriptions of the South as it began and grew, with backgrounds of the main characters: the stylish and highbrow French, the gentlemanly English, the forced-to-flee and looked-down-upon Irish. It is clear things have drastically changed: Gerald has lost his mind, Scarlett's mother is dead, and Rhett has a change of heart and he abandons Scarlett to enlist in the army. Part of the novel is based on a true story, but the author has made no changes to the plot or any of the characters' names. The book is available in English, French, Spanish, German, Italian, Spanish and Native American, with an English-speaking version available in the U.S. and a German-language version in the UK and an American-speaking edition in the US. It was published in 1864 and has sold more than one million copies. It has been hailed as one of the best books of the 20th century, along with Gone With the Wind and Gone With The Wind: The Other Side of the Wind, by Ernest Hemingway, published by Simon & Schuster, for which the author received a MacArthur ""genius grant"" of $1,000,000. The movie version was released in 1998 and has gross sales of more than $1.5 million. The film version of Gone with the wind is expected to be released in the fall of 2018. It will be released on Blu-ray and DVD. The first film version is scheduled for release on September 14, 2018. The second version will be available on September 25, 2018, and the third version on September 26, 2019. The third and fourth versions of the book will be published on September 27, 2018 and September 28, 2019, and September 29, 20, 20. The fourth and final installment will be on September 30, 20th, 19th and 20th respectively, and will be entitled ""The Last Song"" and ""The First Song"" The novel was written by Margaret Mitchell and published by Doubleday, Ltd. (USA) and HarperCollins, Inc. (UK)"
42,Heart of Darkness,"'Heart of Darkness' opens in first person narrative; our narrator establishes the setting aboard a sailboat, ""The Nellie, a cruising yawl,"" anchored in the Thames River near Gravesend (England) Aboard are four others: the Director of Companies (the captain), the Lawyer (""the best of old fellows""), the Accountant (toying architecturally with dominoes), and Marlow (Charlie Marlow) - all share ""the bond of the sea"" - but Marlow is the only one that still ""followed the sea."" Marlow describes the trials and tribulations that must have been encountered by the first Romans who made their way to England; how mysterious and incomprehensible the place must have seemed to them. He describes his passage on ships to the wilderness - to the Company's station, which strikes Marlow as a scene of devastation: ""amongst a waste of excavations"" - disorganized, machinery parts here and there, now and then explosions of demolition, weakened native black men, that have been demoralized, in chains, literally being worked to death, and strolling behind them a white Company man in a uniform carrying a rifle. Marlow leaves that station with a caravan to travel on foot some two hundred miles deeper into the wilderness. Upon arrival at the Central Station: ""the first glance at the place was enough to let you see the flabby devil was running that show"" Marlow learns that at this station, Mr. Kurtz is far from being admired, but instead is resented by the manager (not only is Kurtz's position at Inner Station highly envied, but sentiment seems to be that he is not deserving of it) The journey up-river takes two months - two or four days to board the manager's steamboat. Once the steamboat is ready and underway, the story gets underway, and about the ""pilgrims"" and ""cannibals"" about the company. After fishing out of harm's way, Marlow meets the manager out on the river, and learns that Kurtz, more or less, is a first-class agent, and later adds: ""'He will be a somebody in the Administration before long. They, above—the Council in Europe, you know—mean him to be.'"" Marlow introduces the events that led to his appointment to captain a river-steamboat for an ivory trading company - the steamer he is to captain."
43,Hamlet,"Prince Hamlet of Denmark is the son of deceased King Hamlet and his wife, Queen Gertrude. The story opens on a chilly night at Elsinore, the Danish royal castle. Hamlet resolves to see the Ghost himself. The Ghost claims that it is the actual spirit of his father, and discloses that he—the elder Hamlet—was murdered by his brother Claudius pouring poison in his ear. He will have them stage a play, The Murder of Gonzago, re-enacting his father's murder and determine Claudius's guilt or innocence by studying his reaction to it. The court assembles to watch the play; Hamlet provides an agitated running commentary throughout. When the murder scene is presented, Claudius abruptly rises and leaves the room, which Hamlet sees as proof of his uncle's guilt. When he realises that he killed Ophelia's father, he is not remorseful, but calls Polonius ""Th wretched fool"" Hamlet hides his brother's body in England, ultimately revealing its location to the King, who sends Hamlet on a diplomatic pretext to get rid of the prince, accompanied by Rosencrantz and Guildenstern. Prior to Hamlet's death, the Ghost reveals that he is actually sending Hamlet to his death, and ultimately reveals the location of the body to the king, who takes it to Elsinius's castle. The play ends with Hamlet fleeing to England, accompanied (and closely watched) by the King and his bodyguards, and eventually revealing the body's location to Pol on his return to El sinore, leaving the King ultimately revealing the location to his son, Hamlet, and the Ghost. The ghost then dies, and Hamlet goes on to die in the play's final scene, in which he is finally reunited with his mother, the Queen, and his best friend, Horatio, in the middle of the courtyard of El Sinore. The final scene is set at the end of the play, when Hamlet is about to kill the Queen and cries out for help, but is stopped by the Queen's guards, who tell him to go to his room and wait for his mother. In the end, the play ends in a climactic battle between the Ghost and the King of England, who is killed by Hamlet in the climactic final scene of The Murder Of Gonzago. It is the last play written by the playwright, and is considered one of the greatest of all time."
44,Heretics of Dune,"Sandworms have reappeared on Arrakis (now called Rakis) and renewed the flow of the all-important spice melange to the galaxy. With Leto's death, a hugely complex economic system built on spice collapsed, resulting in trillions leaving known space in a great Scattering. A new civilization has risen, with three dominant powers: the Ixians, the Bene Tleilax, and the Bene Gesserit. However, people from the Scattering are returning with their own peculiar powers. The most powerful of these forces are the Honored Matres, a violent society of women bred and trained for combat and the sexual control of men. The Bene GESSerit is a matriarchal order of subtle political manipulators who possess superhuman abilities. It is led by the Reverend Mother Darwi Odrade, a loose cannon who does not obey normal Bene GEsserit prohibitions about love, and is also the biological daughter of Miles Teg, the main character in the book. The book is published by Simon & Schuster on November 14, 2013. It will be available on Blu-ray and DVD on November 15, 2013, and on November 16, 2014, on the Blu-Ray version of the book and on the DVD of the novel, respectively, for the first time in the UK and the U.S. Only the UK version of this book is available on DVD and Blu- ray. For more information on how to order your copy of this novel, visit www.simonandschuster.com/. For more on the book's plot, visit http://www.samaritans.co.uk/books/the-book/ The-Book-of-The-Book of the Book of The Book of The Book Of The Book, by Simon and Schuster on November 14, 2013 for the full version of The Book of the Book Of The Book, also available in the UK, on November 15, and on November 16, 2013 for the US version, for the full version of the book, the book is on sale in the UK and the United States, for £7.99 (US$9.99). For more about the book, visit http://www thebookofthebook.com/TheBookOfTheBook.html."
45,Adventures of Huckleberry Finn,"Thomas ""Tom"" Sawyer and Huckleberry Finn have each come into a considerable sum of money as a result of their earlier adventures. Huck has been placed under the guardianship of the Widow Douglas, who, together with her sister, Miss Watson, is attempting to civilize him. His life is changed by the sudden reappearance of his shiftless father ""Pap"", an abusive parent and drunkard. During one of his father's absences Huck escapes, elaborately fakes his own murder, and sets off down the Mississippi River. While living quite comfortably in the wilderness along the Mississippi, Huck encounters Miss Watson's slave Jim on an island called Jackson's Island. Huck learns that Jim has also run away after he overheard Miss Watson’s plan to sell Jim downriver, where conditions for slaves were even harsher, because he would bring a price of $800. Huck and Jim's raft is swamped by a passing steamship, separating the two. Huck is given shelter by the Grangerfords, a prosperous local family. He becomes with Buck Granger, a boy about his age, and learns about a 30-year-old blood feud between another family and the Shepherdsons. The feud comes to a head when Buck's sister Sophia elopes with Harney Shepherdson, and all the males from this branch of the family are shot and killed. Upon seeing Buck's corpse, Huck is too devastated to write about everything that happened. However, he does describe how he narrowly avoids his own death in the gunfight together with Jim, later reuniting with the raft and later with the others on their way back to the U.S. The novel is set in fictional St. Petersburg, Missouri, sometime between 1835 (when the first steamboat sailed down theMississippi) and 1845. It is the second novel in the Tom Sawyer series, the first being The Adventures of Tom Sawyer, which was published in 1841. The book is about a young boy named Tom Sawyer and his adventures in the Missouri wilderness. It was written by Thomas Sawyer and published by Little, Brown and Company, Inc. in 1843 and 1844. The story is about Huck Sawyer and the adventures he and Tom Sawyer have in the St. Louis area, and also about Tom Sawyer's adventures with his gang of self-proclaimed ""robbers"" The novel was written for young readers and is published in hardback in 1845 and 1846. It has been optioned by Simon & Schuster and is available in audio and video form."
46,Ivanhoe,"Wilfred of Ivanhoe is disinherited by his father Cedric of Rotherwood for supporting the Norman King Richard and for falling in love with the Lady Rowena. Ivanhoe accompanies King Richard on the Crusades, where he is said to have played a notable role in the Siege of Acre. The book opens with a scene of Norman knights and prelates seeking the hospitality of Cedric. The story then moves to the scene of the tournament, which is presided over by Prince John, King Richard's younger brother. A mysterious masked knight, identifying himself only as ""Desdichado"" makes his appearance and manages to defeat some of the best Norman lances, including Bois-Guilbert, Maurice de Bracy, a leader of a group of ""Free Companions"" (mercenary knights) and the baron Reginald Front-de-Boeuf. The rescuing knight, having evened the odds by his action, then slips away. This causes much consternation to Prince John and his court who now fear the imminent return of King Richard. Because he is severely wounded in the competition and refuses to have anything to do with Cedric, Ivanhoe makes himself infatuated with theLady Rowena and plans to take her with him to York. She is a skilled healer, who convinces her father to take him with them. She may be treated by Isaac of York, the beautiful daughter of Isaac, who is also a skilled archery-in-arms-maker. This is but one of the many mysterious incidents that occur throughout the book. It is also revealed that Ivanhoe himself is revealed to be to be the King of England at the point of this point in the book, though he does not reveal this until the end of the novel. It then goes over the conclusion of the Tournament, including feats of archery and archery by Locksley, Robin of Locksly and his men. In the end, the story ends with Ivanhoe's return to the land of his birth and the birth of his son, Wilfred, as the new king of England. The novel is published by Hodder & Stoughton, a division of Random House, on November 14, 2013. The first edition of the book was published on November 13, 2013, and the second edition on November 15, 2014, by Random House for a suggested price of £12.99 (including p&p)."
47,Johnny Got His Gun,"Joe Bonham, a young soldier serving in World War I, awakens in a hospital bed after being caught in the blast of an exploding artillery shell. He gradually realizes that he has lost his arms, legs, and all of his face (including his eyes, ears, teeth, and tongue), but that his mind functions perfectly. Joe attempts suicide by suffocation, but finds that he had been given a tracheotomy which he can neither remove nor control. At first Joe wishes to die, but later decides that he desires to be placed in a glass box and toured around the country in order to show others the true horrors of war. After he successfully communicates with his doctors by banging his head on his pillow in Morse code, however, he realizes that neither desire will be granted. It is implied that he will live the rest of his natural life in his condition. As Joe drifts between reality and fantasy, he remembers his old life with his family and girlfriend, and reflects upon the myths and realities of War. He also forms a bond, of sorts, with a young nurse who senses his plight and helps him through his ordeal. The film was released on September 11, 1918. It was the first time the film had been released in the United States, and was directed by George C. Wolfe. It has been rated PG-13 for violence and contains some mild references to alcohol and drug use. The movie was released in theaters on September 10, 1918, and it was released to home video on September 13, 1918,. It was released by Paramount Pictures in the U.S. and Paramount Home Video in the UK on September 14, 1918 and September 15, 1919. It had a release date of September 17, 1919, and a release time of September 19, 1919 in the US and September 20, 1921 in Europe and September 21, 1921, in Europe, and September 22, 1922, in France and Belgium. The UK release date for the film was September 23, 1920, and the US release date was September 28, 1921. It premiered on September 23. It also had its world premiere on September 24, 1921 at the New York City Film Festival. The U.K. release date is September 27, 1922. It will be the first film to be released in Australia and Canada. It opens in Australia on September 30, 1923, and then in Canada on September 31, 1923. It closes in Canada the following year. It premieres in the States on September 29, 1924, and is released in Europe the following month."
48,Icehenge,"Icehenge is part mystery, part psychological drama, and is set in three distinct time periods. The story shifts from a failed Martian political revolution of 2248, to an expedition to explore a mysterious monument on the north pole of Pluto three centuries later. Ultimately, the story moves to a space station orbiting Saturn, home to a reclusive and wealthy woman who may hold the key to solving a mystery spanning centuries. The film is directed by David Lean and is based on the novel by Neil Gaiman. Icehenge will be released in UK cinemas on September 14. For more information, visit icehenge.co.uk or watch a trailer for the film on CNN.com. The movie is also available on Blu-ray and DVD. For additional information on the film, visit www.cnn.com/icehenge or watch the trailer for The Hobbit: The Battle of the Five Armies on September 13. For the full filmography, visit ichengemovie.com or watch The Hobbit Movie on September 15."
49,Leviticus,"Chapters 1–5 describe the various sacrifices from the sacrificers' point of view, although the priests are essential for handling the blood. Chapters 7–10 describe the consecration (by Moses) of Aaron and his sons as the first priests, the first sacrifices, and God's destruction of two of Aaron's sons for ritual offenses. With sacrifice and priesthood established, chapters 11–15 instruct the lay people on purity (or cleanliness) Eating certain animals produces uncleanliness, as does giving birth. Blasphemy is to be punished with death, and rules for the eating of sacrifices are set out. The Holiness code begins with a prohibition on all slaughter of animals outside the Temple, even for food, and then prohibits a long list of sexual contacts and also child sacrifice. The code ends by telling the Israelites they must choose between the law and prosperity on the one hand, or, on the other, horrible punishments, the worst of which will be expulsion from the land. Chapter 27 is a disparate and probably late addition telling about persons and things dedicated to the Lord and how vows can be redeemed instead of fulfilled. It begins with the ""holiness"" injunctions which give the code its name begin with the next section: penalties are imposed for the worship of Molech, consulting mediums and wizards, cursing one's parents and engaging in unlawful sex. The reasoning behind the food rules are obscure; for the rest the guiding principle seems to be that all these conditions involve a loss of ""life force"", usually but not always blood. A third goat is to sent into the desert to ""Azazel"", bearing the sins of the whole people. This is the only day on which the High Priest is to enter the holiest part of the sanctuary, the holy of holies. He is to sacrifice a bull for the Sins of the priests, and a goat for the sin of the laypeople. The name of Azazel may be a wilderness-demon, but its identity is mysterious. It is not known whether Azazel is a deity or just a name given to a demon by the Israelite people. The book ends with a warning that if you are found guilty of any crime, you will be punished by death, even though the penalty for such crimes is not severe. It was written in the 4th century BC, and is one of the oldest surviving books of the Bible. The Bible was written by Moses and Moses' son, Aaron, and was compiled by Moses after Moses' death."
50,Leaf by Niggle,"In this story, an artist, named Niggle, lives in a society that does not much value art. He paints a canvas of a great Tree with a forest in the distance. However, there are many mundane chores and duties that prevent Niggle from giving his work the attention it deserves, so it remains incomplete and is not fully realized. Eventually, Niggle is forced to take his trip, and cannot get out of it. He has not prepared, and as a result ends up in a kind of institution, in which he must perform menial labour each day. But he discovers that the new country he is sent to is in fact the country of the Tree and Forest of his great painting, now long abandoned and all but destroyed (except for the one perfect leaf of the title which is placed in the local museum) in the home to which he cannot return. The Tree here and now in this place is the true realization of his vision, not the flawed and incomplete form of his painting. Long after both Niggle and Parish have taken their journeys, the lovely field that they built together becomes a place for many travelers to visit before their final voyage into the Mountains, and it earns the name ""Niggle's Parish"" The book is published by Simon & Schuster, priced £16.99, with a recommended age of 12+. To order a copy of the book, call the Samaritans in the UK on 08457 90 90 90, visit a local Samaritans branch or click here for details. In the U.S. call the National Suicide Prevention Line on 1-800-273-8255 or visit http://www.suicidepreventionlifeline.org/. In the UK, contact the Samaritans on 0800 555 111, or click here for information on how to get in contact with the National suicide Prevention Lifeline on the National Suicide Prevention lifeline in the UK or the National Suicide Lifeline on 08457 909090 or the UK Samaritans on 0800 909090, or the UK Telephone on  08457 9090, or the U.S Telephones on 1 800 0 800-9090. For confidential support on suicide matters call the National Suicide Prevention Line on 1 8457 90 090 or visit a local  Samaritans Branch or The National suicide Prevention hot line on 8 457 hot line."
51,Macbeth,"Macbeth is the Thane of Glamis and Banquohave. He is the kinsman of King Duncan of Scotland. The Three Witches tell him he will father a line of kings, though he will not be one. Lady Macbeth wishes him to murder Duncan in order to obtain kingship. She frames Duncan’s sleeping servants for the murder by placing bloody daggers on them. The rightful heirs' flight makes them suspects and MacBeth assumes the throne as the new King of Scotland as a kinsman. The ghost of Banquo's son Fleance returns and causes a riot at a banquet, until a desperate Lady Mac beth tells them that her husband is merely afflicted with a malady with a familiar and harmless malady. A third murderer appears in the park before the murder, but Fleance succeeds in killing the assassins. The third murderer then returns to the banquet and raves at the sight of an empty chair, causing the same panic at the others at the banquet. The play ends with a scene in which the ghost is only visible to himself, as the audience is afraid to look at him at all. It was first performed in Edinburgh in 1763. It is the first play to be set in the Scottish Highlands. It has been performed in London since 1815. It also has been staged in New York City and London, among other cities, in the last few years of the 20th century. In the UK, it was performed in the West End in the summer of 2013, and in London in the winter of 2014. It will also be staged in the UK in the spring of 2015, and the US in the fall of 2015. The UK premiere will take place in London at the Queen's Theatre, London, on June 14 and 15, 2015. For more information on the play, visit: http://www.theatre-review.com/macbeth-and-the-three-witch-prophecies-theatre/ The play is also available in the U.S. and Canada at the Library of Congress, with an audio version of the play available on the Internet at: http:www.library-of-law.org.uk/mac-beth/the-play-theatrical-pennies-theater-theaters-and the-world-of theatre.html. The first line is ""So foul and fair a day I have not seen"" (1.3.38)."
